5734,4383,6681,4118
4383,6681,4118,6709
6681,4118,6709,11645
4118,6709,11645,27422
6709,11645,27422,31927
11645,27422,31927,25722
27422,31927,25722,17975
31927,25722,17975,6100
25722,17975,6100,12964
17975,6100,12964,3643
6100,12964,3643,5360
12964,3643,5360,4834
3643,5360,4834,5429
5360,4834,5429,8930
4834,5429,8930,18546
5429,8930,18546,23533
8930,18546,23533,33365
18546,23533,33365,31920
23533,33365,31920,12571
33365,31920,12571,8247
31920,12571,8247,10053
12571,8247,10053,7622
8247,10053,7622,4649
10053,7622,4649,5079
7622,4649,5079,7163
4649,5079,7163,7879
5079,7163,7879,21303
7163,7879,21303,30630
7879,21303,30630,30771
21303,30630,30771,35107
30630,30771,35107,9316
30771,35107,9316,4908
35107,9316,4908,8917
9316,4908,8917,9148
4908,8917,9148,5187
8917,9148,5187,6807
9148,5187,6807,7413
5187,6807,7413,6643
6807,7413,6643,26239
7413,6643,26239,28616
6643,26239,28616,29856
26239,28616,29856,36554
28616,29856,36554,10673
29856,36554,10673,10661
36554,10673,10661,12267
10673,10661,12267,11732
10661,12267,11732,8182
12267,11732,8182,31960
11732,8182,31960,8434
8182,31960,8434,10580
31960,8434,10580,33800
8434,10580,33800,34475
10580,33800,34475,29398
33800,34475,29398,31018
34475,29398,31018,23822
29398,31018,23822,11326
31018,23822,11326,11526
23822,11326,11526,9735
11326,11526,9735,11984
11526,9735,11984,29079
9735,11984,29079,7040
11984,29079,7040,9095
29079,7040,9095,27979
7040,9095,27979,28987
9095,27979,28987,30534
27979,28987,30534,48429
28987,30534,48429,7342
30534,48429,7342,5114
48429,7342,5114,7885
7342,5114,7885,4232
5114,7885,4232,5165
7885,4232,5165,12495
4232,5165,12495,8831
5165,12495,8831,9408
12495,8831,9408,57009
8831,9408,57009,16750
9408,57009,16750,24631
57009,16750,24631,32135
16750,24631,32135,6196
24631,32135,6196,13601
